---Movies by imdb rating catogary---
rating_category	movie_count
Drama|Mystery|Romance|Thriller|War	12987647
Action|Crime|Drama|Sport	12398628
Drama|Fantasy|Horror|Mystery	12134420
Comedy|Drama|Music|War	11034436
Comedy|Musical|Romance	15176733
Comedy|Drama|Music|Musical|Romance	25529689
Comedy|Crime|Drama|Mystery|Romance	8093318
Biography|Comedy|Drama|History|Music|Musical	6201757
Animation|Drama|Mystery|Sci-Fi|Thriller	5480996
Adventure|Comedy|Drama|Romance	120528983
Comedy|Drama|Mystery|Romance|Thriller|War	2353728
Biography|Comedy|Musical	2000000
Action|Adventure|Animation|Family|Sci-Fi|Thriller	410388
Crime|Drama|Mystery|Romance|Thriller	578382
Comedy|Family|Fantasy|Sci-Fi	146072
Action|Comedy|Crime|Fantasy|Horror|Mystery|Sci-Fi|Thriller	1183354
Crime|Drama|Mystery	10847200
Romance|Short	25529689
Animation	25529689
Drama|Horror	25529689
Adventure|Comedy|Romance	8396942
Family|Fantasy|Music	2119994
Crime|Drama|Music|Thriller	1292527
Action|Drama|Fantasy|Mystery|Thriller	13998282
Biography|Drama|History|Music	51600000
Biography|Drama|Family|Sport	43853424
Comedy|Drama|War	40060900
Biography|Drama|Romance|War	4435083
Action|Horror|Romance|Sci-Fi|Thriller	3500000
Music	3419967
Action|Drama|History|Romance|War|Western	229311
Action|Animation|Sci-Fi|Thriller	63260
Action|Animation|Comedy|Crime|Family	51053787
Drama|Family|Music|Musical	7017178
Drama|Family|Musical|Romance	72000000
Comedy|Drama|Family|Fantasy|Sci-Fi	37566230
Comedy|Crime|Drama|Music|Romance	21160089
Adventure|Comedy|Family|Fantasy|Musical	11634458
Adventure|Crime|Drama|Romance	2315683
Comedy|Mystery|Sci-Fi|Thriller	273420
Sci-Fi	25529689
Drama|Fantasy|War	37623143
Action|Comedy|Crime|Family	33357476
Action|Comedy|Mystery	23618786
Comedy|Crime|Mystery	19663029
Action|Crime|Sci-Fi	1686429
Comedy|Horror|Sci-Fi	24441814
